env_0min_1,env_0min_2,env_5min_1,env_5min_2
54965.534118999996,48715.037244,50571.425686999995,53338.450515
78188.439461,64345.773112,73684.150269,50217.595562
55788.25246999999,44782.089718999996,49289.932013,59277.403951
52551.063989,56606.453251000006,49397.072229,55943.51427
42633.529629,64403.078992999996,70928.854255,79220.99376000001
33876.883958,28408.683354999997,184029.42095,28485.215787
51063.390912999996,50771.201216,48388.323317999995,60060.907616000004
48078.357122,64076.30037700001,52631.62619,54293.18780199999
59277.403951,51012.088721,51571.121866,53158.645021000004
52995.189730000006,61300.275601999994,56466.587564,56970.566802999994
53980.320926,53933.703090999996,55147.867217000006,56054.50661900001
52499.089590999996,49397.072229,46500.993770999994,52035.70821
48047.198779,48047.198779,47810.040198999995,52469.534094
59676.679541000005,61135.152118000005,45257.034159999996,46789.845118
48507.619269,56054.50661900001,41916.730001,59610.935534000004
62789.10978700001,61243.191758999994,84186.609151,44088.821201
56466.587564,48694.200738,61532.682896000006,63386.323451
62612.949421000005,58927.535496000004,43414.890229,44110.809476
48436.351884,49731.123615000004,47375.23181,55052.395534999996
62736.359829999994,63939.289385,40675.926196,39569.505605
44702.37277,64174.326272,55508.924382,54125.782341
54125.782341,54736.499623,56662.68079,59969.877257
56054.50661900001,53980.320926,55322.572283999994,51706.954523
45710.580243,47626.303273,51627.300467,55147.867217000006
53602.289686,75550.457043,48924.872632,57410.387649
51012.088721,50167.62794,47832.672707000005,48967.886398999995
53674.98824399999,49051.551026,49959.278518,48078.357122
74301.517269,47030.569678,79220.99376000001,49639.023045
51232.446512,55322.572283999994,52189.002782,50404.111091
42766.371496,48643.582168,56116.95953000001,55508.924382
50801.998495,41315.485124,54369.41925399999,51571.121866
61757.00601,56237.215657,47863.023279,46956.09427
54436.586705999995,57382.474124,46049.726821000004,48715.037244
59012.478779,55508.924382,47000.851784,45314.181082
60613.140574,65945.54791400001,53718.318805999996,62498.270945
57079.113149000004,39711.610151,61450.551142,77527.613119
57918.673945,76432.743,52551.063989,54965.534118999996
43271.918678,38830.019734,54323.618507,63939.289385
43603.422360000004,56761.031510999994,53394.67099500001,62789.10978700001
64403.078992999996,64562.168797,41144.949166,43934.048335
60060.907616000004,72450.432282,97185.236429,59898.026014
91018.379921,50278.641659,83171.93423,37170.734329
48715.037244,50351.531967,54125.782341,59772.63280400001
