0min_1,0min_2,0min_3,0min_4,5min_1,5min_2,5min_3
211751.34936000002,217992.11518000002,219782.70931,228498.12117,278235.46196,302552.25771,267239.34359
225763.74008999998,245294.29878,234319.32012999998,245934.78006000002,224609.00229000003,212906.36143,240143.35404000003
233050.35798,217394.8104,246742.20954999997,256361.29898000002,238362.10336,242179.03446,261077.91633
339516.551,329176.77113,363256.63273,243813.05353,285822.40068,207496.48662,251791.17472
250747.07153,262489.00899,326333.60427,301036.36196,227300.90685,211751.34936000002,313693.93756
219057.67061,214908.49484,226365.85479,231664.55351,269845.27521,268734.61814000004,273223.28128
393863.40148,336533.89567999996,378908.45554,361010.80754,233667.64907999997,235361.63402,290881.05078
304562.8832,301876.89411,325650.02152999997,307467.02072000003,193590.19165,234753.90366,332072.86639
242179.03446,238362.10336,222373.64944,257000.09829000002,243813.05353,254319.07445000001,249859.47143
240143.35404000003,242179.03446,243015.37319,218637.34509000002,224084.19556,235873.70197999998,254319.07445000001
260004.15958000004,258842.83240999997,257626.12653,181300.19402999998,268734.61814000004,285822.40068,308683.54307
233667.64907999997,269845.27521,257000.09829000002,194563.58722000002,227956.56522,214908.49484,245294.29878
234319.32012999998,234319.32012999998,251791.17472,251791.17472,267239.34359,249859.47143,242179.03446
493548.98121999996,399845.57172,358730.37058,267239.34359,299916.63038,170035.97615,150821.89157
205099.87992,203652.7028,214033.63972,207023.55430000002,247337.73615,257626.12653,234319.32012999998
216523.75813000003,211751.34936000002,225006.89344,185555.33353,251791.17472,256361.29898000002,262489.00899
267239.34359,261077.91633,267239.34359,302552.25771,270742.87806,276601.96288,255651.17474
299916.63038,241163.14829,291739.92963,291739.92963,258842.83240999997,222373.64944,175808.94647000002
239082.39334,231010.50619000001,229953.36233,213410.69832000002,245934.78006000002,255651.17474,231010.50619000001
221118.04722,229356.24238999997,217992.11518000002,207936.38496999998,205099.87992,213410.69832000002,245934.78006000002
220669.29802000002,200571.39504,209789.28118,207496.48662,216071.01071,245294.29878,233667.64907999997
206263.04595,210856.35004000002,203218.15438000002,232474.40269,241163.14829,228498.12117,234753.90366
229356.24238999997,234753.90366,240143.35404000003,203652.7028,225006.89344,190077.22542,228498.12117
222863.31063000002,227300.90685,242179.03446,225763.74008999998,226365.85479,219057.67061,219057.67061
211292.62832,205532.28133,207496.48662,177269.66686,235873.70197999998,239082.39334,229953.36233
198291.24408,201021.42638000002,214908.49484,158724.05919,265389.83284,231010.50619000001,226365.85479
224084.19556,221118.04722,216071.01071,235361.63402,240143.35404000003,240143.35404000003,233050.35798
193590.19165,219057.67061,221440.04885999998,201387.9752,231664.55351,145080.47584,218637.34509000002
227300.90685,243813.05353,224084.19556,188974.41557,187679.33203,204613.93864,238362.10336
204613.93864,209789.28118,249859.47143,220669.29802000002,257000.09829000002,181300.19402999998,221118.04722
263558.11672,272405.36907,290167.83064,290167.83064,275230.56513,250747.07153,256361.29898000002
280699.39797,303587.49291000003,280699.39797,385415.98972,194563.58722000002,190784.68421,157146.57528
222373.64944,225763.74008999998,227300.90685,247337.73615,207936.38496999998,216523.75813000003,210369.42539
168083.4459,166849.50855,158724.05919,175388.15131000002,148637.87388,153427.63753,136114.27831000002
213410.69832000002,225006.89344,222863.31063000002,224084.19556,288825.22168,243813.05353,257626.12653
