0min_1,0min_2,5min_1,5min_2
59391.4001275,59391.4001275,49143.7950575,53647.795935
57285.332267499994,58873.838195000004,51190.6339125,54353.764605
69052.6980975,70152.1657375,40576.2464725,42289.33698
55404.79835,46292.6177975,62784.7185325,56365.1792525
60766.06559,56541.9862775,48165.937505,55212.07718
53895.420585,60565.034335,50270.9393575,54631.19094
54401.274065,55978.30001,54780.4617425,55164.5149275
45614.33579,47511.55795,59223.38906,68948.5519625
57195.4364375,57195.4364375,63905.8904825,41243.676585
48080.1582125,53255.072205000004,57539.28848,62009.5985675
61868.650035,52064.954775,52119.8058375,53561.438615
62641.59907,61348.417700000005,46264.556052500004,49361.716134999995
61348.417700000005,55639.7798675,48316.1606,54086.9547925
46996.608017499995,52256.498155,71353.8077575,48411.725845
46940.09785,61059.1985825,49857.078714999996,58873.838195000004
55639.7798675,56425.50275,48943.413055000005,56007.624142500004
56425.50275,58929.213015,47266.7723175,54192.9361775
47857.9793975,53058.998675,63543.980735,52973.178427499995
7099.18382425,8279.5868305,88581.67915750001,107087.9678
64265.9528775,54780.4617425,48498.100675,50179.386735
46174.9327125,57369.3831075,50179.386735,63905.8904825
53344.683145,56150.918125,49428.12895,55699.120664999995
60216.6318225,62555.8102075,44171.146277499996,47525.5337
56007.624142500004,54914.64482,52405.34868,52256.498155
62009.5985675,60952.895945,53185.691475,38225.770085000004
65847.3143075,52405.34868,52973.178427499995,44162.59869
58669.4305775,56311.119772499995,55307.799315,43494.0159325
52151.64601,55360.865112499996,56248.952015,50345.377947500005
61720.31189,56600.7965225,48080.1582125,46702.2682225
66498.713915,67125.63948,38903.434942500004,41618.177064999996
16689.0480225,22674.6363525,91506.709955,79430.2733375
60386.929814999996,58333.74348,47932.9384,45183.396725
62142.308445,57285.332267499994,41717.9306075,52213.6712825
53185.691475,49035.46698,68420.96741499999,40876.07642
29433.3593125,33308.2244775,74304.5024975,74076.3345125
60342.8445775,57225.8626925,45614.33579,49428.12895
49143.7950575,54401.274065,50885.2971825,58128.7659475
54254.2771325,55913.5880675,49552.512057500004,52044.05799
55835.2158575,55602.36748,48211.5242225,52519.3058075
51261.97995,59223.38906,45577.01048,55733.7476975
49694.9824375,56732.21406,60670.0274375,45288.714535
62711.3297875,55307.799315,51099.2648775,43189.248455
58719.5640775,55733.7476975,52044.05799,44794.0573625
57369.3831075,48080.1582125,52930.597245,52649.710269999996
55978.30001,57539.28848,50947.546655,45641.8467175
42507.3524225,60119.49499,51459.234005,55639.7798675
57679.70339,53434.74631,49361.716134999995,49591.9032275
53480.563795,59136.1700575,43081.8709375,53434.74631
25353.729724999997,29485.115582500002,89342.9238225,62784.7185325
55212.07718,56908.67059,48676.25892,46940.09785
55307.799315,51732.527645,49237.14041,51261.97995
49274.518835,45825.992075,64915.053735,47909.49178
48676.25892,55088.4147225,47601.249572500004,56818.3883075
49361.716134999995,50270.9393575,51428.582167500004,56425.50275
