0min_1,0min_2,0min_3,0min_4,60min_1,60min_2,60min_3
2144454.0618000003,2139299.7449000003,2144454.0618000003,2424901.0349,2645828.7674000002,2414394.3945,2444405.8613
2171878.7754,2260648.208,2220741.7260000003,2286620.8943,2392014.5164,2516457.6555999997,2811211.8641
2444405.8613,2516457.6555999997,2482137.823,2692981.1321,2059183.1063,2052043.8037999999,1692133.2299
2349552.5009,2302890.6239,2234706.0730999997,1685486.7752999999,2516457.6555999997,2534281.0042999997,2829272.856
2392014.5164,2343302.1785,2329658.1069,2543695.4981,2204781.5393,2171878.7754,2102786.8937
2040092.5850000002,2096999.6357999998,2110640.8313,2320060.7313,2505565.3628,2617598.7883,2886088.5199
2606896.5645,2543695.4981,2463919.1357,2482137.823,1984487.1557999998,1969405.0629,1553092.5171
2363343.2944,2363343.2944,2375522.7367,1891275.2421999997,2349552.5009,2386185.1946,2606896.5645
2234706.0730999997,2220741.7260000003,2171878.7754,2005691.1472,2313489.9877,2567780.1585999997,2343302.1785
2032615.5752,2125909.5094999997,2085100.2643,2375522.7367,2431999.5954,2475177.5476,2653678.1188000003
2313489.9877,2336732.1961999997,2260648.208,2633958.4216,2234706.0730999997,2227968.4676,1935620.0425
2494015.5248,2494015.5248,2363343.2944,2171878.7754,2077047.6619,2144454.0618000003,2155152.793
2155152.793,2193369.3405999998,2125909.5094999997,2349552.5009,2260648.208,2260648.208,2505565.3628
1897912.9905,1935620.0425,2005691.1472,2276162.2372000003,2567780.1585999997,2606896.5645,2921380.8816
2130729.6173,2245272.3858,2227968.4676,2343302.1785,2286620.8943,2313489.9877,2375522.7367
2008269.3962,2130729.6173,2059183.1063,2220741.7260000003,2302890.6239,2320060.7313,2617598.7883
2220741.7260000003,2227968.4676,2253221.0625,2451460.8082000003,2227968.4676,2110640.8313,2059183.1063
2149910.0485,2110640.8313,2077047.6619,2040092.5850000002,2245272.3858,2286620.8943,2404981.6593000004
2266899.3393,2214594.6418,2336732.1961999997,2357734.8534000004,1979444.0633999999,2121430.4693,1791236.079
2059183.1063,2059183.1063,2121430.4693,2204781.5393,2276162.2372000003,2329658.1069,2596829.9203000003
2102786.8937,2121430.4693,2052043.8037999999,1770490.3217,2444405.8613,2343302.1785,2581495.1698
2404981.6593000004,2404981.6593000004,2404981.6593000004,2523580.1783,1875091.6138999998,1748937.5246,1382598.9249
2193369.3405999998,2149910.0485,2161472.8726999997,2313489.9877,2008269.3962,2019680.3495,1945010.9456
2110640.8313,2077047.6619,2102786.8937,2253221.0625,2110640.8313,2012789.6120000002,2214594.6418
1908686.0508,1845205.5416,1775425.0188000002,1756350.9233,2320060.7313,2302890.6239,2234706.0730999997
2125909.5094999997,2144454.0618000003,2193369.3405999998,1998948.834,1991283.0111000002,1979444.0633999999,2085100.2643
2320060.7313,2253221.0625,2292706.1824000003,2336732.1961999997,1937893.9313,1845205.5416,1700308.6452
1864051.7728,1891275.2421999997,1807565.8147999998,1560751.4278000002,2475177.5476,2336732.1961999997,2768399.3535
2302890.6239,2266899.3393,2276162.2372000003,2386185.1946,1914350.0176,1925667.1335999998,1778313.7887000002
