env_0min_1,env_0min_2,env_5min_1,env_5min_2
236934.5912,220915.90615,228824.28083,226519.75934000002
221266.09622999997,234313.89363,221266.09622999997,230719.80112999998
254851.05052,221990.39166000002,235961.48781,219633.15021000002
241074.51896000002,227737.21876000002,220067.28580999997,225409.59682
243585.12771,209883.17792,244324.19575,229282.82635
229036.22590999998,231155.87683000002,252872.16135999997,232747.4315
232287.57843,226277.97219000003,230719.80112999998,233642.67533
237297.31872,232747.4315,215210.40498000002,228824.28083
227737.21876000002,217034.87689,222250.21966,220915.90615
232190.57324,216660.43436,231963.60429,213904.10523000002
230043.52500999998,232287.57843,209883.17792,213780.83564
222864.96472,244944.58232,206241.62437,227737.21876000002
212442.53394,230930.25810000004,209577.55453,244324.19575
232747.4315,213163.73615,219178.11592,221561.81435000003
187618.25917,251108.89502,243585.12771,243585.12771
220915.90615,224860.86823999998,220381.40167,227203.58388
224332.21274000002,203733.79038,219796.01377,224598.05743
238322.33772999997,230719.80112999998,211426.77626999997,208042.3153
225409.59682,215988.20043000003,211703.18532,227409.82124000002
179394.15537999998,255180.33763999998,248959.03818,241757.76389
214892.98174999998,228469.68698,228469.68698,217416.31708
213904.10523000002,236934.5912,226519.75934000002,220067.28580999997
231963.60429,200743.66565,227203.58388,207536.58130000002
214137.24151,232190.57324,224860.86823999998,222670.20726999998
235271.03695,224332.21274000002,220915.90615,223916.24665000002
235961.48781,218548.97677,217034.87689,219464.46622
220381.40167,214465.01743,224598.05743,224860.86823999998
217660.17560000002,230043.52500999998,213438.24202,215608.10035999998
231155.87683000002,233642.67533,225864.06017,231155.87683000002
236262.47195,221266.09622999997,225113.63911000002,203144.45711000002
243028.36669999998,223315.53486,208591.36325,205417.83026999998
220067.28580999997,228147.58994,218548.97677,218899.42531
221990.39166000002,220564.58242000002,210317.02853,221990.39166000002
234752.95583000002,220067.28580999997,207190.22708,221266.09622999997
211917.58037,231637.19988000003,212442.53394,220381.40167
206004.32319,229036.22590999998,217960.63942999998,225864.06017
229678.76567000002,223916.24665000002,213163.73615,207190.22708
188021.60616000002,248385.17268,231431.90508,225113.63911000002
210816.98690999998,224598.05743,213904.10523000002,215210.40498000002
203733.79038,219464.46622,222864.96472,218260.35126999998
228469.68698,198428.53787,229678.76567000002,211187.73273999998
223916.24665000002,207059.50383,215495.66406,214137.24151
258932.75269999998,214892.98174999998,262016.18462,193974.28524
223315.53486,210317.02853,214137.24151,218548.97677
233642.67533,245202.1462,204886.09698,204886.09698
197610.11853,308545.50627,208930.66588000002,197894.86035
207762.15363000002,227203.58388,226277.97219000003,229678.76567000002
215988.20043000003,208042.3153,214892.98174999998,222250.21966
222670.20726999998,218899.42531,206440.11359000002,210317.02853
214696.46740000002,208930.66588000002,219633.15021000002,200571.97202
224598.05743,215495.66406,208287.13314,215495.66406
230558.69976,211703.18532,226848.50247999997,208591.36325
222250.21966,213904.10523000002,204081.28048000002,219178.11592
209214.35992000002,207855.37678999998,202928.55294000002,214696.46740000002
202928.55294000002,201035.18438,206629.44761,223315.53486
231637.19988000003,222250.21966,205417.83026999998,206629.44761
227409.82124000002,191730.73188,218260.35126999998,206004.32319
219796.01377,225409.59682,218899.42531,209461.16779
225864.06017,202755.0086,210816.98690999998,211703.18532
215495.66406,195943.97483999998,198428.53787,211426.77626999997
215608.10035999998,207190.22708,214465.01743,217960.63942999998
208042.3153,198156.03943,211917.58037,230930.25810000004
217960.63942999998,207762.15363000002,204599.48778999998,205692.39068999997
226277.97219000003,225113.63911000002,202342.96829000002,202928.55294000002
219464.46622,218260.35126999998,205692.39068999997,201557.24787
212117.14446,219178.11592,206004.32319,195943.97483999998
225113.63911000002,211426.77626999997,212117.14446,213163.73615
187427.17907,210543.51382,203144.45711000002,263166.39168
227203.58388,211187.73273999998,215988.20043000003,213438.24202
192479.39072,240860.13551,267491.81519,220564.58242000002
218548.97677,209461.16779,207059.50383,198428.53787
226848.50247999997,219796.01377,211187.73273999998,211917.58037
211426.77626999997,217416.31708,231637.19988000003,205142.30192
214465.01743,209214.35992000002,210543.51382,206440.11359000002
216660.43436,208287.13314,203733.79038,202052.5402
208591.36325,202052.5402,207536.58130000002,206241.62437
52577.000006,48760.005802,334565.95624,352592.03313
221561.81435000003,210816.98690999998,222670.20726999998,212117.14446
207059.50383,192901.34119,214696.46740000002,199714.20496
211187.73273999998,200571.97202,207762.15363000002,201294.82838999998
230290.41864,234073.84715,196275.69113,194301.48885
177575.11920000002,226848.50247999997,221561.81435000003,214465.01743
211703.18532,208591.36325,200088.11287,208930.66588000002
213438.24202,204081.28048000002,201557.24787,207059.50383
191110.32736,214696.46740000002,205142.30192,215988.20043000003
217034.87689,217960.63942999998,209214.35992000002,194570.53613
200088.11287,200315.89208,197272.49764000002,207762.15363000002
204886.09698,203144.45711000002,195943.97483999998,196493.34707
188976.63432,220381.40167,210064.82458000001,212663.55302
201557.24787,199092.81844,194158.68547,214892.98174999998
