genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
55373.403954,68674.485913,59949.738775,60134.245048
54807.235433,55190.199872000005,72005.241605,70040.28707699999
53272.321811,53961.940449,60627.329573999996,61889.512973000004
48934.608636000004,53821.733142000005,45581.839984,47126.520216
59278.850763999995,65911.332445,49862.544682,58687.67559700001
53916.960624,50198.900795,74582.179938,67751.468393
50017.845408,42483.391961,71376.433724,72700.830447
58227.488301,51040.840929,66188.857155,69133.389067
56953.77607400001,55713.217140999994,57955.923096,53792.293711000006
38841.760201000005,39254.52847999999,66092.588227,77352.473291
47557.812899,50982.437127,57035.323149,62600.038514
53405.94791,58093.410518,42567.116861,44530.750898
73896.40065200001,74776.329172,54023.771038000006,49132.758282999996
37383.694605000004,36675.513829999996,78526.340139,74582.179938
55759.660644,62290.61759200001,48435.246628,58258.689969
57895.396788,55949.391721,62016.28698700001,54393.83584500001
53093.966136,54352.61683199999,37038.789931,34554.959956
45924.961323,46035.035600999996,67296.22409599999,66769.270242
58048.774836,62600.038514,54665.504313,52513.804839000004
61177.316591999996,59741.16111,61096.17914,59658.449988
63888.74109,62016.28698700001,45763.709248,43718.018221
60990.37338799999,66874.451289,50162.913714999995,60073.749127999996
49603.919685,56407.402390999996,55949.391721,53821.733142000005
93900.84651999999,95217.817157,36450.687324,52285.827742
59462.178408,61032.508388,53405.94791,51512.983033
60512.218695999996,60627.329573999996,55273.544067,54500.206634999995
62962.111713000006,63452.496595,53711.557847,56243.676682000005
60835.863312999994,64725.846879,59278.850763999995,53597.160776000004
57303.565231,60512.218695999996,51824.56711,57035.323149
58557.900438000004,59462.178408,56333.53387,56127.498265999995
33226.727383000005,31441.809377999998,71196.328424,75078.465746
51597.746613,61945.40904099999,45390.458153,47787.170239
56061.137738,49190.517556,66333.110123,58488.738433000006
54578.603642999995,59553.93517699999,49812.672771,52093.533455000004
48072.71808,48581.020727999996,66585.566366,59592.355061
77867.155896,67031.252348,47966.150693,49753.134155
53792.293711000006,58828.493259999996,49347.41507,45469.015808
65655.778731,61357.917666999994,58828.493259999996,59856.342927
55992.77529,56810.79809899999,55190.199872000005,57148.35529200001
57778.62744,65459.194795,52027.445658,50198.900795
52492.507664,58687.67559700001,51040.840929,49034.454725
44425.632708000005,43198.596208999996,71051.332711,74040.700171
52865.260728,57955.923096,59658.449988,55524.251003
38072.760253,31939.494692999997,38898.256949,45763.709248
85921.763746,62225.803439,52835.215511,54264.10756399999
75490.137512,70157.306683,46764.662309,52626.563266
50765.387702,61405.818236,50812.905127,54578.603642999995
54954.004352,54954.004352,56810.79809899999,53405.94791
69133.389067,63785.814743,57668.998823999995,65655.778731
58763.046475,67521.411133,52197.076827,51040.840929
55480.620783,17601.664855000003,54100.507828,66092.588227
71527.698697,39353.728278,44216.960369,46963.030721
41168.901209999996,43355.848652,68851.52112800001,64918.110198
53524.117429,53475.80373,64791.59267,56333.53387
66874.451289,61483.303266999996,61483.303266999996,65706.91266399999
58137.115197,67296.22409599999,46247.425519,43976.130301000005
36642.196617,30413.167779,67894.830195,62290.61759200001
56702.70496,60134.245048,51653.580957,53131.766810999994
56407.402390999996,68331.31269,52463.708287,52407.262650000004
50295.974051000005,49689.537049,47324.803201,48898.255847
42841.755632,40930.721058,37295.571762,36642.196617
65911.332445,58488.738433000006,62225.803439,63647.421160000005
56810.79809899999,54264.10756399999,59856.342927,65242.539336
64037.027173,62829.534754,53961.940449,57895.396788
66092.588227,59089.84656,59592.355061,64592.835638000004
62684.299398,53405.94791,57354.587654999996,61696.559027
36833.234817000004,31167.844363,64546.91658,62684.299398
22576.574638,20288.737239000002,88986.688758,69899.954209
64696.100255,74582.179938,38015.334691000004,33096.756399
49425.523881999994,47595.008746,68577.51412400001,60691.062717999994
28430.635041999998,27918.019632,64725.846879,63367.26875999999
61807.807609999996,65842.31336,48364.180894000005,48112.081674
39999.454928,39553.520743,67980.818374,56611.169484
57955.923096,56333.53387,55666.500446,54100.507828
51450.062511000004,50474.474328,58488.738433000006,56810.79809899999
58828.493259999996,62160.817016999994,45744.05459,45294.130326
52363.52693,36985.24606,73327.47124000001,68430.541751
60134.245048,62745.646560999994,48002.221663,47527.510093000004
52582.632452000005,60073.749127999996,53475.80373,53348.222427
58093.410518,61696.559027,55373.403954,61945.40904099999
66188.857155,59592.355061,62160.817016999994,64321.603586000005
59658.449988,63367.26875999999,46179.194829,48162.032432
55897.798835,57242.187731,53016.064732,54879.551618000005
40718.241708,35441.997629000005,66874.451289,74295.336083
62016.28698700001,69899.954209,46217.490631,49278.439813
74174.221136,54879.551618000005,58137.115197,68090.31936
52093.533455000004,53093.966136,53659.854585999994,45028.181238000005
75794.336751,74952.951145,37690.326291,41669.784074
48744.63814,44615.819125,56243.676682000005,49505.831312
52197.076827,58367.818631999995,47394.202399999995,45321.014735
56611.169484,51423.931721999994,66769.270242,73175.13454700001
64223.401398,60575.93788299999,54578.603642999995,56061.137738
51653.580957,49000.270279000004,59089.84656,56953.77607400001
55524.251003,50684.934610000004,55136.61217200001,50812.905127
39937.387336,37323.664345,59462.178408,52759.30656
45874.568157,42505.011632,70888.618534,66585.566366
52947.347519999996,56953.77607400001,46474.852581,44216.960369
54307.294012000006,55666.500446,61357.917666999994,68186.614621
50812.905127,54578.603642999995,49425.523881999994,45924.961323
53016.064732,55619.834326,54307.294012000006,51253.36376
64791.59267,61228.23956,57148.35529200001,55011.789948000005
33780.032565,29627.300864,81983.783308,76368.940225
46927.162498000005,49278.439813,58687.67559700001,56407.402390999996
39702.294449,39962.993439,56061.137738,65140.071057
52027.445658,59856.342927,40930.721058,44560.108528
58258.689969,52363.52693,62600.038514,43198.596208999996
40895.153229999996,42661.148262999995,43784.811097,39060.218023
49812.672771,43976.130301000005,67174.91751,60627.329573999996
41008.813332000005,43462.233281,45645.563036,46927.162498000005
48290.937144,50812.905127,47908.282223,43462.233281
59900.34976,53916.960624,44837.107746,43784.811097
51560.885962,48867.368811,52626.563266,54023.771038000006
69271.354217,58258.689969,60835.863312999994,61593.80959600001
39319.552738,44597.194915,43059.320481999996,41332.845174
49549.739760000004,53016.064732,50322.103743,56506.922915999996
41226.222389999995,31564.825124999996,49505.831312,48002.221663
46217.490631,44027.175686999995,65140.071057,62489.089038
48112.081674,46709.680956,53916.960624,55949.391721
49912.666358,54100.507828,55992.77529,46764.662309
37019.529924,33020.12122,55897.798835,50982.437127
45533.093815,43718.018221,51597.746613,54807.235433
53869.12170599999,59382.964959000004,42382.68288,46113.566341
68090.31936,74174.221136,29149.669227,35962.930749
53659.854585999994,54665.504313,50846.911007,55327.04188399999
59553.93517699999,55373.403954,56953.77607400001,55992.77529
44750.095492,49034.454725,50765.387702,48337.179858
62745.646560999994,58557.900438000004,52093.533455000004,53475.80373
56127.498265999995,60266.085716999994,44145.642719999996,48290.937144
67521.411133,60464.35447400001,48672.889743,49912.666358
48976.845939,57617.320822,47825.545524,46709.680956
55273.544067,57537.148703,43404.399462999994,45508.796003
44560.108528,46002.817622,46853.896507000005,42358.60941
44637.375339000006,48337.179858,45874.568157,49689.537049
46963.030721,50295.974051000005,49278.439813,55080.105657
40627.321534,37611.378431000005,65655.778731,62225.803439
36885.742224,34113.419652,67031.252348,55480.620783
44963.486339,41372.737622,58300.130347000006,55666.500446
69565.546294,65655.778731,45533.093815,51296.750237
